Comment,Test,Validation,Training,Correct,AUC,MCC,F1,AVP,TPR,TNR,Prec,Rec,Confusion matrix,LR,Duration (s),Timestamp
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.808,0.63,0.052,0.118,0.334,0.077,0.954,0.25,0.077,"[[248  12]
 [ 48   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",34,2019-05-10 15:44:58.819493
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.806,0.713,0.198,0.3,0.425,0.25,0.917,0.375,0.25,"[[220  20]
 [ 36  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",50,2019-05-10 15:45:15.118576
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.545,0.682,0.122,0.318,0.366,0.636,0.527,0.212,0.636,"[[116 104]
 [ 16  28]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",67,2019-05-10 15:45:31.912955
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.758,0.587,-0.022,0.111,0.227,0.091,0.891,0.143,0.091,"[[196  24]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",83,2019-05-10 15:45:48.187964
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.821,0.775,0.445,0.545,0.707,0.643,0.857,0.474,0.643,"[[240  40]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",19,2019-05-10 15:46:12.522595
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.801,0.732,0.214,0.326,0.411,0.288,0.904,0.375,0.288,"[[235  25]
 [ 37  15]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",36,2019-05-10 15:46:29.045562
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.778,0.781,0.0,0.111,0.371,0.083,0.917,0.167,0.083,"[[220  20]
 [ 44   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",53,2019-05-10 15:46:45.857448
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.636,0.591,0.044,0.25,0.201,0.364,0.691,0.19,0.364,"[[152  68]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",69,2019-05-10 15:47:02.082821
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.833,0.543,0.158,0.154,0.235,0.091,0.982,0.5,0.091,"[[216   4]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",86,2019-05-10 15:47:19.105345
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.833,0.784,0.467,0.563,0.701,0.643,0.871,0.5,0.643,"[[244  36]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-10 15:47:43.372018
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.718,0.67,0.044,0.214,0.321,0.231,0.815,0.2,0.231,"[[212  48]
 [ 40  12]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:48:01.415474
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.847,0.658,0.265,0.154,0.325,0.083,1.0,1.0,0.083,"[[240   0]
 [ 44   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",57,2019-05-10 15:48:20.310891
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.742,0.548,0.166,0.32,0.199,0.364,0.818,0.286,0.364,"[[180  40]
 [ 28  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",76,2019-05-10 15:48:38.762724
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.712,0.511,-0.076,0.095,0.244,0.091,0.836,0.1,0.091,"[[184  36]
 [ 40   4]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",94,2019-05-10 15:48:57.007163
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.798,0.685,0.406,0.514,0.482,0.643,0.829,0.429,0.643,"[[232  48]
 [ 20  36]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",20,2019-05-10 15:49:21.017445
0,AAs S:4 X:0_20,0,1,"[0, 2, 3, 4]",0.846,0.788,0.341,0.4,0.486,0.308,0.954,0.571,0.308,"[[248  12]
 [ 36  16]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",38,2019-05-10 15:49:39.155717
0,AAs S:4 X:0_20,0,2,"[0, 1, 3, 4]",0.833,0.696,0.217,0.25,0.328,0.167,0.967,0.5,0.167,"[[232   8]
 [ 40   8]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",57,2019-05-10 15:49:57.321975
0,AAs S:4 X:0_20,0,3,"[0, 1, 2, 4]",0.769,0.489,-0.117,0.0,0.175,0.0,0.923,0.0,0.0,"[[203  17]
 [ 44   0]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",75,2019-05-10 15:50:15.309489
0,AAs S:4 X:0_20,0,4,"[0, 1, 2, 3]",0.712,0.436,-0.166,0.0,0.146,0.0,0.855,0.0,0.0,"[[188  32]
 [ 44   0]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",92,2019-05-10 15:50:32.903429
0,AAs S:4 X:0_20,0,0,"[1, 2, 3, 4]",0.833,0.789,0.434,0.533,0.593,0.571,0.886,0.5,0.571,"[[248  32]
 [ 24  32]]","[0.01, 0.1, 0.01, 0.1, 0.005, 0.05, 0.001, 0.01]",21,2019-05-10 15:50:58.259073
